Timestamp;Open;High;Low;Close;Volume (BTC);Volume (Currency);Weighted Price
2018-02-22 00:00:00;10446.79;10935;9731.2;9843.34;20204.69;206051152.36;10198.18
2018-02-23 00:00:00;9843.33;10405.3;9600;10166.1;16044.04;160782973.05;10021.35
2018-02-24 00:00:00;10135.2;10540.63;9373.48;9689.99;13972.71;137805304.52;9862.46
2018-02-25 00:00:00;9688.26;9883.41;9260;9590.04;11037.18;105367249.25;9546.58
2018-02-26 00:00:00;9595.99;10461.97;9376.34;10324.7;16156.81;162306362.39;10045.7
2018-02-27 00:00:00;10329.99;10850;10150;10566.3;10408.48;110086762.8;10576.64
2018-02-28 00:00:00;10572.49;11064.75;10255.07;10314.9;10490.75;111457734.83;10624.38
2018-03-01 00:00:00;10314.99;11090;10223.41;10903.13;9481.67;101712406.73;10727.27
2018-03-02 00:00:00;10917.37;11175;10774.01;11029.99;8329.1;91455982.5;10980.3
2018-03-03 00:00:00;11032.81;11503.24;11022.85;11445;7786.27;88241259.78;11332.93
2018-03-04 00:00:00;11445;11511;11054.91;11463.27;6831.63;77060624.28;11279.98
2018-03-05 00:00:00;11479.68;11688;11383.66;11419.24;9933.68;114638102.24;11540.35
2018-03-06 00:00:00;11417.39;11420.01;10560.19;10723.76;14734.42;161507885.73;10961.27
2018-03-07 00:00:00;10723.01;10911.78;9450;9913.03;26116.51;264099759.78;10112.37
2018-03-08 00:00:00;9904.52;10150;9078.95;9285.32;22522.43;217370120.92;9651.27
2018-03-09 00:00:00;9293.06;9420.39;8366;9230;29014.17;257069817.58;8860.15
2018-03-10 00:00:00;9228.83;9514.96;8697;8791.47;12886.59;118146982.45;9168.21
2018-03-11 00:00:00;8795.04;9768.37;8450;9535.04;16407.54;149758874.77;9127.44
2018-03-12 00:00:00;9535.04;9892;8742.07;9120.75;18751.02;175103380.07;9338.34
2018-03-13 00:00:00;9115.24;9482.79;8830;9142.32;16001.48;146461539.25;9153
2018-03-14 00:00:00;9152.07;9356.14;7948;8196.69;21191.02;182210730.85;8598.49
2018-03-15 00:00:00;8195.99;8425;7682;8265.05;18387.61;148610946.85;8082.12
2018-03-16 00:00:00;8265.05;8613.06;7914.08;8258.54;16498.62;137219222.82;8317.01
2018-03-17 00:00:00;8258.54;8356.4;7730.23;7860.83;12048.67;97294029.18;8075.09
2018-03-18 00:00:00;7860.83;8324.92;7325.37;8188.24;19547.36;150315447.64;7689.81
2018-03-19 00:00:00;8205.55;8718.74;8114.17;8596.93;19396.09;162448296.19;8375.31
2018-03-20 00:00:00;8596.79;9051;8313.01;8904.02;13454.82;116496170.95;8658.32
2018-03-21 00:00:00;8904.02;9188.1;8754.83;8893.79;12101;108594771.1;8974.03
2018-03-22 00:00:00;8892.18;9099.59;8503.52;8704.67;12587.63;109923828.13;8732.68
2018-03-23 00:00:00;8708.52;8920.79;8265;8920.79;13749.78;117134344.45;8518.99
2018-03-24 00:00:00;8917.99;9020;8505;8547;9731.98;85811618.32;8817.49
2018-03-25 00:00:00;8541.96;8680;8368.63;8453.9;9155.91;78013217.69;8520.53
